0,921
0,662
0,506
0,366
0,140
1,672
1,584
1,259
1,644
1,418
2,833
2,840
2,493
2,693
2,546
3,175
3,470
3,352
3,579
3,85
4,330
4,646
4,263
4,403
4,856
5,562
5,693
5,595
5,513
5,744
6,457
6,614
6,327
6,140
6,580
7,380
7,338
7,891
7,722
7,58
8,150
8,333
8,292
8,757
8,831
9,177
9,493
9,388
9,915
9,441
10,54
10,478
10,745
10,491
10,856
11,730
11,131
11,468
11,756
11,88
12,534
12,633
12,740
12,524
12,458
13,778
13,959
13,19
13,749
13,970
14,255
14,668
14,383
14,688
14,845
15,511
15,534
15,412
15,833
15,208
16,559
16,534
16,830
16,648
16,606
17,348
17,340
17,261
17,418
17,584
18,615
18,662
18,789
18,830
18,276
19,801
19,595
19,261
19,439
19,525
20,110
20,245
20,406
20,582
20,832
21,261
21,352
21,434
21,691
21,980
22,101
22,844
22,635
22,492
22,585
23,435
23,257
23,302
23,528
23,934
24,637
24,207
24,58
24,203
24,523
25,871
25,241
25,226
25,778
25,352
26,125
26,524
26,397
26,872
26,127
27,860
27,91
27,795
27,759
27,118
28,981
28,387
28,934
28,109
28,448
29,890
29,309
29,31
29,407
29,101
30,746
30,309
30,57
30,420
30,89
31,37
31,640
31,865
31,724
31,525
32,462
32,310
32,135
32,818
32,962
33,981
33,83
33,541
33,865
33,805
34,255
34,36
34,494
34,154
34,759
35,559
35,856
35,523
35,656
35,397
36,66
36,340
36,846
36,146
36,304
37,821
37,532
37,899
37,119
37,78
38,687
38,589
38,589
38,764
38,980
39,326
39,846
39,499
39,71
39,659
40,259
40,583
40,825
40,420
40,384
41,619
41,135
41,595
41,383
41,781
42,439
42,232
42,892
42,722
42,559
43,387
43,955
43,644
43,310
43,374
44,740
44,33
44,831
44,482
44,842
45,745
45,850
45,317
45,434
45,719
46,811
46,779
46,210
46,714
46,793
47,791
47,667
47,135
47,380
47,492
48,860
48,581
48,713
48,134
48,793
49,235
49,716
49,371
49,56
49,272
50,301
50,454
50,144
50,8
50,618
51,135
51,743
51,373
51,65
51,279
52,301
52,310
52,114
52,666
52,692
53,783
53,225
53,191
53,856
53,448
54,441
54,778
54,738
54,677
54,140
55,654
55,624
55,683
55,781
55,463
56,451
56,591
56,617
56,154
56,411
57,339
57,449
57,407
57,877
57,125
58,327
58,469
58,904
58,299
58,406
59,795
59,330
59,738
59,670
59,317
60,400
60,506
60,527
60,690
60,135
61,948
61,643
61,647
61,539
61,241
62,458
62,381
62,313
62,387
62,583
63,139
63,478
63,188
63,934
63,125
64,708
64,906
64,475
64,961
64,881
65,135
65,904
65,606
65,918
65,614
66,892
66,644
66,397
66,759
66,821
67,194
67,720
67,803
67,146
67,559
68,281
68,309
68,338
68,167
68,330
69,89
69,414
69,634
69,177
69,862
70,316
70,560
70,931
70,970
70,207
71,998
71,29
71,118
71,366
71,975
72,499
72,752
72,264
72,57
72,933
73,576
73,348
73,519
73,444
73,309
74,970
74,4
74,272
74,601
74,534
75,423
75,2
75,583
75,356
75,404
76,359
76,525
76,342
76,830
76,519
77,860
77,920
77,458
77,982
77,380
78,289
78,412
78,579
78,231
78,778
79,214
79,233
79,140
79,225
79,738
80,784
80,13
80,974
80,325
80,359
81,732
81,50
81,219
81,274
81,461
82,6
82,299
82,70
82,644
82,241
83,181
83,466
83,579
83,406
83,228
84,146
84,50
84,694
84,466
84,763
85,608
85,387
85,742
85,674
85,904
86,416
86,597
